studyName,Date,Time GMT,Island,Colony,Adults,Chicks
PAL2021,2021-01-26,NULL,CHR,1,0,0
PAL2021,2021-01-26,NULL,CHR,2,0,0
PAL2021,2021-01-26,NULL,CHR,3,0,0
PAL2021,2021-01-26,NULL,CHR,3.1,0,0
PAL2021,2021-01-26,NULL,CHR,4.1,0,0
PAL2021,2021-01-26,NULL,CHR,4.2,0,0
PAL2021,2021-01-26,NULL,CHR,5,0,0
PAL2021,2021-01-26,NULL,CHR,6,0,0
PAL2021,2021-01-26,NULL,CHR,7,21,22
PAL2021,2021-01-26,NULL,CHR,7.1,0,0
PAL2021,2021-01-26,NULL,CHR,7.2,0,0
PAL2021,2021-01-26,NULL,CHR,8,0,0
PAL2021,2021-01-26,NULL,CHR,9.1,0,0
PAL2021,2021-01-26,NULL,CHR,9.2,0,0
PAL2021,2021-01-26,NULL,CHR,10,0,0
PAL2021,2021-01-26,NULL,CHR,11,0,0
PAL2021,2021-01-26,NULL,COR,1,0,0
PAL2021,2021-01-26,NULL,COR,2,7,7
PAL2021,2021-01-26,NULL,COR,3,7,6
PAL2021,2021-01-26,NULL,COR,4,0,0
PAL2021,2021-01-26,NULL,COR,5,0,0
PAL2021,2021-01-26,NULL,COR,5.1,7,6
PAL2021,2021-01-26,NULL,COR,6,0,0
PAL2021,2021-01-26,NULL,LIT,1,0,0
PAL2021,2021-01-26,NULL,LIT,2,0,0
PAL2021,2021-01-26,NULL,LIT,3,0,0
PAL2021,2021-01-26,NULL,LIT,4,0,0
PAL2021,2021-01-26,NULL,LIT,5,0,0
PAL2021,2021-01-26,NULL,LIT,6,0,0
PAL2021,2021-01-26,NULL,LIT,7,0,0
PAL2021,2021-01-26,NULL,LIT,8,0,0
PAL2021,2021-01-26,NULL,LIT,9,0,0
PAL2021,2021-01-26,NULL,LIT,10,0,0
PAL2021,2021-01-23,NULL,HUM,1.1,0,0
PAL2021,2021-01-23,NULL,HUM,1.2,0,0
PAL2021,2021-01-23,NULL,HUM,1.3,0,0
PAL2021,2021-01-23,NULL,HUM,2,313,678
PAL2021,2021-01-23,NULL,HUM,2.1,0,0
PAL2021,2021-01-23,NULL,HUM,2.2,14,14
PAL2021,2021-01-23,NULL,HUM,3,28,29
PAL2021,2021-01-23,NULL,HUM,3.1,0,0
PAL2021,2021-01-23,NULL,HUM,4,0,0
PAL2021,2021-01-23,NULL,HUM,5,0,0
PAL2021,2021-01-26,NULL,TOR,1,0,0
PAL2021,2021-01-26,NULL,TOR,2,0,0
PAL2021,2021-01-26,NULL,TOR,3,0,0
PAL2021,2021-01-26,NULL,TOR,4,0,0
PAL2021,2021-01-26,NULL,TOR,5,0,0
PAL2021,2021-01-26,NULL,TOR,6,0,0
PAL2021,2021-01-26,NULL,TOR,7.1,0,0
PAL2021,2021-01-26,NULL,TOR,7.2,47,41
PAL2021,2021-01-26,NULL,TOR,7.3,63,64
PAL2021,2021-01-26,NULL,TOR,7.4,0,0
PAL2021,2021-01-26,NULL,TOR,7.5,22,10
PAL2021,2021-01-26,NULL,TOR,8,50,38
PAL2021,2021-01-26,NULL,TOR,9,6,0
PAL2021,2021-01-26,NULL,TOR,10,0,0
PAL2021,2021-01-26,NULL,TOR,11,32,15
PAL2021,2021-01-26,NULL,TOR,12,0,0
PAL2021,2021-01-26,NULL,TOR,13,0,0
PAL2021,2021-01-26,NULL,TOR,14,454,412
PAL2021,2021-01-26,NULL,TOR,15,0,0
PAL2021,2021-01-26,NULL,TOR,16,115,137
PAL2021,2021-01-26,NULL,TOR,16.1,0,0
PAL2021,2021-01-26,NULL,TOR,17,0,0
PAL2021,2021-01-26,NULL,TOR,18,0,0
PAL2021,2021-01-26,NULL,TOR,19,0,0
PAL2021,2021-01-26,NULL,TOR,19.1,0,0
PAL2021,2021-01-26,NULL,TOR,20,0,0
PAL2021,2021-01-26,NULL,TOR,21,0,0
PAL2021,2021-01-26,NULL,TOR,22,0,0
PAL2021,2021-01-26,NULL,TOR,23,0,0
PAL2021,2021-01-26,NULL,TOR,23.1,0,0
