studyName,Date,Sample Number,Source,Prey Type,Species,Evidence,Number of Fish,Evidence Size,Evidence Weight,Estimated Fish Length,Estimated Fish Weight,Notes
PAL2021,2021-01-04,20004,STOM,FISH,UNKN,OTO,1,0,0,0,1,NULL
PAL2021,2021-01-11,20011,STOM,FISH,UNKN,OTO,1,0,0,0,1,NULL
PAL2021,2021-01-18,20012,STOM,FISH,UNKN,OTO,2,0,0,0,1,NULL
PAL2021,2021-01-18,20013,STOM,FISH,UNKN,OTO,1,0,0,0,1,NULL
PAL2021,2021-01-18,20015,STOM,FISH,UNKN,OTO,6,0,0,0,1,NULL
PAL2021,2021-01-18,20016,STOM,FISH,UNKN,FLESH,2,0,1,0,0,two small pieces of fish flesh but not otos found in sample
PAL2021,2021-01-24,20021,STOM,FISH,UNKN,OTO,1,0,0,0,1,NULL
PAL2021,2021-01-29,20022,STOM,FISH,UNKN,OTO,1,0,0,0,1,NULL
PAL2021,2021-01-29,20023,STOM,FISH,UNKN,OTO AND FLESH,2,0,0,0,1,tiny bit of fish flesh and two otos
PAL2021,2021-01-29,20025,STOM,FISH,UNKN,OTO,1,0,0,0,1,NULL
PAL2021,2021-01-29,20026,STOM,FISH,UNKN,OTO,5,0,0,0,1,NULL
