studyName,Sample Number,Sample Collection Date,Total Number,16-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65
PAL2324,AD_D_HUM23001,2023-12-25,7,0,0,0,0,3,1,3,0,0,0
PAL2324,AD_D_HUM23002,2023-12-25,26,0,0,0,3,2,7,12,2,0,0
PAL2324,AD_D_HUM23003,2023-12-25,0,0,0,0,0,0,0,0,0,0,0
PAL2324,AD_D_HUM23004,2023-12-25,21,0,0,0,0,0,3,14,4,0,0
PAL2324,AD_D_HUM23006,2023-12-25,50,0,0,0,0,0,9,31,10,0,0
PAL2324,AD_D_TOR23007,2024-01-01,50,0,0,0,1,3,4,31,11,0,0
PAL2324,AD_D_TOR23008,2024-01-01,50,0,6,8,4,6,8,11,1,1,0
PAL2324,AD_D_TOR23009,2024-01-01,56,0,0,0,0,1,15,34,6,0,0
PAL2324,AD_D_TOR23010,2024-01-01,50,0,0,1,1,1,3,33,10,1,0
PAL2324,AD_D_TOR23011,2024-01-01,51,0,0,0,4,4,18,22,3,0,0
PAL2324,AD_D_TOR23012,2024-01-06,51,0,1,1,8,6,14,19,2,0,0
PAL2324,AD_D_TOR23013,2024-01-06,7,0,0,0,0,1,1,4,1,0,0
PAL2324,AD_D_TOR23014,2024-01-06,50,2,16,4,10,4,6,8,0,0,0
PAL2324,AD_D_TOR23015,2024-01-06,50,0,1,0,4,12,19,14,0,0,0
PAL2324,AD_D_TOR23016,2024-01-06,50,7,13,6,8,10,4,2,0,0,0
PAL2324,AD_D_TOR23019,2024-01-23,50,0,3,5,4,18,13,6,1,0,0
PAL2324,AD_D_TOR23020,2024-01-23,50,0,0,7,8,21,13,0,1,0,0
PAL2324,AD_D_TOR23021,2024-01-23,51,0,2,5,5,23,6,9,1,0,0
PAL2324,AD_D_TOR23022,2024-01-23,50,0,0,6,2,13,11,15,3,0,0
