studyName,Date,Sample Number,Sample Weight,E. superba Weight,Number of E. superba,T. macrura Weight,Number of T. macrura,Fish Weight,Number of Fish
PAL2021,2021-01-04,20001,76.41,76.41,348,0,0,0,0
PAL2021,2021-01-04,20002,109.35,109.35,308,0,0,0,0
PAL2021,2021-01-04,20003,88.76,88.76,324,0,0,0,0
PAL2021,2021-01-04,20004,137.1,136.1,664,0,0,1,1
PAL2021,2021-01-04,20005,131,131,516,0,0,0,0
PAL2021,2021-01-11,20006,131.2,131.2,496,0,0,0,0
PAL2021,2021-01-11,20007,24.38,24.38,74,0,0,0,0
PAL2021,2021-01-11,20008,70.23,70.23,297,0,0,0,0
PAL2021,2021-01-11,20009,121,121,599,0,0,0,0
PAL2021,2021-01-11,20010,39.39,39.39,125,0,0,0,0
PAL2021,2021-01-11,20011,39.7,38.7,168,0,0,1,0
PAL2021,2021-01-18,20012,194.08,193.08,836,0,0,1,0
PAL2021,2021-01-18,20013,69.4,68.4,302,0,0,1,0
PAL2021,2021-01-18,20014,71.53,71.53,236,0,0,0,0
PAL2021,2021-01-18,20015,153.8,152.8,695,0,0,1,0
PAL2021,2021-01-18,20016,106.94,105.94,434,0,0,1,0
PAL2021,2021-01-24,20017,46.6,46.6,206,0,0,0,0
PAL2021,2021-01-24,20018,151.6,151.6,582,0,0,0,0
PAL2021,2021-01-24,20019,172.66,172.66,515,0,0,0,0
PAL2021,2021-01-24,20020,108.3,108.3,363,0,0,0,0
PAL2021,2021-01-24,20021,215.25,214.25,624,0,0,1,0
PAL2021,2021-01-29,20022,95.64,94.64,246,0,0,1,0
PAL2021,2021-01-29,20023,253.3,252.3,862,0,0,1,0
PAL2021,2021-01-29,20024,182.6,182.6,467,0,0,0,0
PAL2021,2021-01-29,20025,131.7,130.7,369,0,0,1,0
PAL2021,2021-01-29,20026,146.79,144.88,357,0.9,50,1,0
